-0.207248,-0.004641
-0.108885,-0.004995
0.091354,0.001840
0.102109,0.001671
0.112129,0.001011
0.122065,-0.000144
0.131938,-0.001794
0.141735,-0.003937
0.151589,-0.006610
0.163108,-0.010315
0.220458,-0.030002
0.385520,-0.085136
0.404298,-0.092416
0.546943,-0.154371
0.727933,-0.223957
0.737700,-0.228283
0.749176,-0.234056
0.757943,-0.239024
0.767064,-0.244783
0.783331,-0.255882
0.873591,-0.316990
1.008938,-0.405614
1.172564,-0.520874
1.342894,-0.645586
1.528378,-0.774003
1.720260,-0.907761
1.908061,-1.033309
2.111091,-1.162369
2.319893,-1.293072
2.524210,-1.435549
2.532117,-1.441671
2.542372,-1.448822
2.596804,-1.482861
2.691219,-1.535544
2.754912,-1.567018
2.834824,-1.601746
2.972287,-1.653773
3.178789,-1.720427
3.196607,-1.725210
3.223918,-1.731099
3.336884,-1.749613
3.378728,-1.754338
3.403181,-1.755868
3.467625,-1.756674
3.548313,-1.753651
3.584930,-1.750441
3.617441,-1.745946
3.694826,-1.731275
3.761321,-1.715189
3.780354,-1.709564
3.811471,-1.698651
3.890312,-1.666493
3.945421,-1.640732
3.967114,-1.629237
4.005156,-1.606577
4.090243,-1.549953
4.129910,-1.520593
4.149732,-1.504328
4.191603,-1.466315
4.261873,-1.395808
4.289230,-1.365466
4.308477,-1.341845
4.356367,-1.276680
4.399049,-1.212069
4.421195,-1.174599
4.452578,-1.114890
4.497394,-1.018199
4.528547,-0.941104
4.544373,-0.895507
4.562933,-0.831956
4.582781,-0.748742
4.598233,-0.665829
4.614189,-0.547750
4.624470,-0.427266
4.630285,-0.263438
4.628635,-0.104741
4.622207,0.014711
4.604438,0.186833
4.599936,0.216052
4.593560,0.247056
4.572589,0.328252
4.541690,0.427200
4.527008,0.467090
4.507350,0.513266
4.458754,0.613275
4.425961,0.672975
4.395857,0.721850
4.338584,0.805249
4.299982,0.855845
4.242808,0.923573
4.140411,1.033287
4.101406,1.071108
4.045799,1.119922
4.012893,1.146018
3.960183,1.183697
3.899109,1.222900
3.865138,1.242383
3.798515,1.276298
3.720019,1.311452
3.685827,1.324758
3.632487,1.342506
3.535502,1.369497
3.501352,1.377185
3.448976,1.386260
3.328694,1.400986
3.300043,1.403048
3.243575,1.404293
3.106510,1.400518
3.073021,1.397916
3.020473,1.391209
2.877441,1.365759
2.819239,1.352373
2.749632,1.332820
2.583956,1.277396
2.466745,1.231703
2.378195,1.192047
2.270422,1.137672
2.098997,1.040529
1.907258,0.921334
1.715326,0.797420
1.522162,0.663854
1.422553,0.588722
1.257405,0.456016
1.093239,0.333172
0.924656,0.201211
0.746577,0.049126
0.567763,-0.106988
0.384943,-0.259214
0.189963,-0.414119
0.182178,-0.420396
0.005460,-0.558933
-0.145449,-0.683420
-0.277799,-0.803541
-0.368058,-0.893529
-0.459456,-0.991852
-0.595294,-1.150262
-0.734695,-1.300505
-0.880670,-1.452156
-1.045103,-1.620488
-1.212006,-1.786494
-1.386266,-1.957103
-1.569381,-2.123345
-1.762639,-2.281936
-1.963537,-2.430732
-2.004703,-2.458146
-2.013293,-2.463266
-2.022128,-2.467950
-2.031187,-2.472187
-2.040445,-2.475966
-2.049881,-2.479277
-2.059471,-2.482112
-2.069190,-2.484465
-2.079015,-2.486329
-2.088920,-2.487700
-2.098882,-2.488574
-2.108875,-2.488949
-2.118874,-2.488824
-2.128855,-2.488199
-2.138791,-2.487076
-2.148660,-2.485459
-2.158435,-2.483350
-2.168093,-2.480756
-2.177609,-2.477683
-2.186961,-2.474141
-2.196127,-2.470139
-2.205089,-2.465695
-2.329161,-2.409852
-2.349293,-2.399961
-2.488827,-2.325331
-2.678991,-2.235202
-2.896243,-2.145069
-2.915731,-2.135818
-2.925441,-2.130612
-2.934016,-2.125457
-2.942342,-2.119888
-2.950482,-2.113837
-2.958774,-2.107009
-2.969604,-2.097172
-2.994368,-2.072755
-3.041273,-2.026118
-3.073418,-1.992425
-3.167288,-1.889439
-3.314251,-1.742928
-3.321292,-1.735171
-3.328040,-1.726955
-3.334017,-1.718907
-3.339624,-1.710546
-3.344923,-1.701792
-3.350236,-1.692096
-3.357127,-1.678308
-3.374748,-1.641361
-3.410558,-1.564125
-3.426249,-1.526149
-3.460840,-1.432118
-3.521376,-1.280626
-3.525387,-1.268981
-3.531570,-1.247681
-3.536747,-1.226121
-3.545308,-1.184514
-3.555161,-1.134790
-3.564790,-1.078458
-3.585438,-0.938471
-3.592682,-0.873343
-3.608180,-0.682226
-3.608708,-0.667022
-3.608487,-0.652443
-3.607559,-0.637972
-3.604290,-0.608089
-3.597895,-0.559775
-3.590647,-0.511032
-3.576559,-0.431832
-3.548306,-0.262441
-3.546101,-0.252324
-3.543397,-0.242343
-3.540269,-0.232718
-3.536533,-0.222904
-3.531127,-0.210549
-3.519012,-0.185801
-3.498245,-0.145150
-3.474967,-0.101515
-3.428070,-0.019262
-3.336286,0.154479
-3.330742,0.163821
-3.323816,0.174275
-3.317688,0.182613
-3.309951,0.192168
-3.296466,0.207509
-3.267468,0.239673
-3.228510,0.282024
-3.126068,0.386828
-3.029018,0.480500
-2.859739,0.649677
-2.850430,0.658097
-2.841847,0.665119
-2.833794,0.671066
-2.825443,0.676619
-2.816747,0.681815
-2.806960,0.687075
-2.783596,0.698621
-2.773874,0.702841
-2.757722,0.708951
-2.721245,0.721402
-2.646950,0.747613
-2.524566,0.788409
-2.310685,0.859948
-2.301053,0.862642
-2.291299,0.864852
-2.281448,0.866572
-2.271523,0.867798
-2.261549,0.868528
-2.251550,0.868759
-2.241550,0.868491
-2.231563,0.867725
-2.221558,0.866460
-2.210966,0.864613
-2.189194,0.859950
-2.102900,0.841397
-1.986445,0.815981
-1.764493,0.763723
-1.551812,0.703981
-1.508912,0.689632
-1.492007,0.683064
-1.481911,0.678617
-1.470239,0.672894
-1.450503,0.662584
-1.413987,0.643435
-1.357643,0.612535
-1.305739,0.581233
-1.251708,0.546141
-1.210738,0.519755
-1.162455,0.487746
-1.126814,0.461781
-1.090509,0.433015
-1.067604,0.414824
-1.043314,0.395121
-0.980125,0.339248
-0.930023,0.292222
-0.900223,0.263218
-0.864930,0.228338
-0.766066,0.124457
-0.667677,0.011244
-0.546648,-0.140746
-0.408852,-0.332566
-0.271839,-0.541611
-0.265975,-0.549711
-0.205617,-0.624868
-0.047936,-0.803974
0.125578,-0.982388
0.290701,-1.170096
0.446723,-1.365435
